 County,Capacity,ADP in January,Jail Occupancy (ADP),Mar26,Apr2,Apr9,Apr 16,Apr 23,Apr 30,May 7,May 14,May 21,May 28,June 4,June 11,June 18,June 25,July 2,July 9,July 16,July 23,July 30,August 6,August 13,August 20,August 27,September 3,Sept 10,Sept 17,September 24,October 1,October 8,October 15,October 22,October 29,November 5,November 12,November 19,November 25,December 3,December 10,Dec 17,Dec 24,Dec 31,Jan 7,Jan 14,Jan 21,March ADP,N Change,% Change,Occupancy,Occupancy Change,Apr ADP,N change,% change,Occupancy ,Occupancy change,May ADP,N change,% change,Occupancy ,Occupancy Change,June ADP,N change,% change,Occupancy ,Occupancy Change,July ADP,N change,% change,Occupancy ,Occupancy Change,August ADP,N change,% change,Occupancy ,Occupancy Change,Sept ADP,N change,% change,Occupancy,Occupancy change,Oct ADP,N change,% change,Occupancy,Occupancy change,Nov ADP,N change,% change,Occupancy,Occupancy change,Dec ADP,N Change,% Change,Occupancy,Occupancy Change,Jan ADP,N Change,% Change,Occupancy,Occupancy Change,ADP FOR PANDEMIC,N change from ADP,% change between ADPS,Jail Occupancy (ADP),Occupancy % change,Cost Savings,ADP FOR PANDEMIC,N change from ADP,% change between ADPS,,
Custer,12,8.14,68%,5,4,4,4,4,4,4,3,3,3,6,4,5,2,3,4,4,6,5,5,4,4,1,1,1,3,3,2,2,4,3,4,5,4,3,2,2,3,2,1,2,2,2,2,5,-3,-39%,42%,-26%,4,-4,-51%,33%,-35%,3,-5,-60%,27%,-41%,4,-4,-48%,35%,-32%,4,-4,-46%,37%,-31%,4,-5,-57%,29%,-39%,2,-6,-75%,17%,-51%,3,-5,-63%,25%,-43%,4,-5,-57%,29%,-6,2,-6,-75%,17%,-51%,2,-6,-75%,17%,-51%,3,-5,-60%,27%,-41%,-$481.03,4,-5,-57%,,
Delta,63,60,95%,49,34,32,25,28,28,29,35,32,26,31,31,32,30,32,35,33,28,32,26,26,32,27,36,39,44,45,43,51,52,53,45,46,50,42,39,42,43,38,35,36,38,40,34,49,-11,-18%,78%,-17%,29,-31,-51%,47%,-49%,31,-30,-49%,48%,-47%,31,-29,-48%,49%,-46%,32,-28,-47%,51%,-44%,28,-32,-54%,44%,-51%,41,-19,-32%,65%,-30%,49,-11,-19%,77%,-18%,44,-16,-26%,70%,-24,39,-21,-35%,62%,-34%,37,-23,-38%,59%,-36%,36,-24,-39%,58%,-37%,"-$2,327.00",35,-25,-42%,,
Denver,2417,2060,85%,1371,1187,1121,1066,1041,1051,1029,844,1066,1077,1056,1021,1026,975,950,1007,1017,1017,1025,1060,1151,1183,1235,1258,1279,1298,1291,1342,1389,1391,1433,1412,1418,1446,1462,1455,1497,1542,1568,1530,1541,1573,1603,1587,1371,-689,-33%,57%,-29%,1093,-967,-47%,45%,-40%,1004,-1056,-51%,42%,-44%,1020,-1041,-51%,42%,-43%,1003,-1057,-51%,42%,-44%,1157,-903,-44%,48%,-37%,1282,-779,-38%,53%,-32%,1393,-667,-32%,58%,-28%,1445,-615,-30%,60%,-838,1536,-524,-25%,64%,-22%,1588,-472,-23%,66%,-20%,1223,-837,-41%,51%,-35%,"-$82,756.87",1139,-921,-45%,,
Douglas,436,311,71%,261,240,218,204,206,207,185,184,187,197,204,209,192,200,219,223,217,210,215,234,229,221,236,226,233,255,284,285,281,296,291,291,282,290,285,281,263,256,257,251,248,257,268,272,261,-50,-16%,60%,-11%,215,-96,-31%,49%,-22%,188,-123,-39%,43%,-28%,201,-110,-35%,46%,-25%,217,-94,-30%,50%,-22%,230,-81,-26%,53%,-19%,250,-62,-20%,57%,-14%,289,-22,-7%,66%,-5%,285,-27,-9%,65%,-74,255,-56,-18%,58%,-13%,266,-45,-15%,61%,-10%,238,-73,-24%,55%,-17%,"-$7,226.64",228,-83,-27%,,
Eagle,112,58,52%,43,34,31,30,28,27,25,26,28,23,24,24,24,27,22,27,25,28,31,33,36,37,38,40,41,40,42,42,41,38,40,37,36,38,32,33,32,35,37,36,38,35,33,40,43,-15,-26%,38%,-13%,30,-28,-48%,27%,-25%,26,-33,-56%,23%,-29%,25,-33,-57%,22%,-30%,27,-31,-54%,24%,-28%,36,-22,-38%,32%,-20%,41,-17,-30%,36%,-15%,40,-18,-32%,35%,-16%,35,-23,-40%,31%,-25,36,-22,-39%,32%,-20%,36,-22,-38%,32%,-20%,33,-25,-43%,30%,-22%,"-$2,459.52",32,-26,-45%,,
El Paso,1837,1703,93%,1184,1112,1035,1016,1013,967,915,945,947,950,898,913,941,941,928,955,957,981,1017,1053,1113,1163,1165,1152,1183,1200,1206,1168,1171,1162,1196,1190,1214,1259,1222,1221,1239,1227,1222,1212,1232,1263,1273,1297,1184,-519,-30%,64%,-28%,1029,-674,-40%,56%,-37%,939,-764,-45%,51%,-42%,923,-780,-46%,50%,-42%,968,-735,-43%,53%,-40%,1124,-580,-34%,61%,-32%,1185,-518,-30%,65%,-28%,1177,-526,-31%,64%,-29%,1229,-474,-28%,67%,-612,1226,-477,-28%,67%,-26%,1278,-425,-25%,70%,-23%,1092,-611,-36%,59%,-33%,"-$60,353.79",1050,-653,-38%,,
Elbert,35,24,69%,19,18,20,27,17,23,16,16,17,17,16,16,17,15,17,18,19,19,18,19,22,21,21,22,21,22,24,21,23,17,19,20,20,20,24,21,20,21,28,23,20,23,24,23,19,-5,-21%,54%,-14%,21,-3,-13%,60%,-9%,17,-8,-31%,47%,-21%,16,-8,-33%,46%,-23%,18,-6,-24%,52%,-17%,21,-3,-14%,59%,-9%,22,-2,-7%,64%,-5%,20,-4,-17%,57%,-11%,21,-3,-11%,61%,-5,22,-2,-7%,64%,-5%,23,-1,-3%,67%,-2%,20,-4,-16%,57%,-11%,-$386.34,19,-5,-20%,,
Fremont,240,163,68%,121,106,97,96,92,95,100,95,100,104,106,103,111,117,108,116,103,102,102,101,100,91,99,103,108,111,115,119,115,116,117,110,110,102,94,95,96,99,98,96,105,105,99,108,121,-42,-26%,50%,-18%,97,-66,-40%,41%,-27%,100,-63,-39%,42%,-26%,109,-54,-33%,46%,-22%,106,-57,-35%,44%,-24%,98,-65,-40%,41%,-27%,109,-54,-33%,46%,-22%,115,-48,-29%,48%,-20%,100,-63,-38%,42%,-59,99,-64,-39%,41%,-27%,104,-59,-36%,43%,-25%,104,-59,-36%,43%,-24%,"-$5,808.51",105,-58,-36%,,
Garfield,204,111,54%,64,52,45,49,54,49,57,54,54,55,52,57,53,53,48,47,49,56,63,58,58,68,78,69,75,79,69,73,76,82,84,79,89,90,94,81,78,77,82,75,69,73,65,62,64,-47,-42%,31%,-23%,50,-61,-55%,24%,-30%,55,-56,-50%,27%,-27%,54,-57,-52%,26%,-28%,53,-58,-53%,26%,-29%,66,-46,-41%,32%,-22%,73,-38,-34%,36%,-19%,79,-32,-29%,39%,-16%,89,-23,-20%,43%,-46,76,-35,-31%,37%,-17%,67,-44,-40%,33%,-22%,66,-45,-41%,32%,-22%,"-$4,469.81",61,-50,-45%,,
Gilpin,91,55.96,61%,32,31,29,28,26,26,26,26,25,21,23,24,26,21,20,21,19,19,21,18,18,20,25,24,22,22,22,20,20,19,17,17,19,17,17,16,18,19,19,20,17,14,13,15,32,-24,-43%,35%,-26%,28,-28,-50%,31%,-31%,25,-31,-56%,27%,-35%,24,-32,-58%,26%,-36%,20,-36,-64%,22%,-40%,20,-36,-64%,22%,-39%,23,-33,-60%,25%,-37%,19,-37,-67%,20%,-41%,17,-39,-69%,19%,-35,19,-37,-67%,20%,-41%,14,-42,-75%,15%,-46%,21,-35,-62%,23%,-38%,"-$3,437.13",22,-34,-60%,,
Gunnison,85,22,26%,9,10,10,9,9,10,7,7,7,9,7,9,8,5,5,7,9,6,6,7,8,8,8,8,11,8,12,12,11,9,13,7,8,10,12,8,11,10,14,9,10,14,10,11,9,-13,-59%,11%,-15%,10,-12,-56%,11%,-15%,8,-15,-66%,9%,-17%,7,-15,-67%,9%,-17%,7,-15,-70%,8%,-18%,8,-14,-65%,9%,-17%,10,-12,-56%,11%,-14%,10,-12,-53%,12%,-14%,10,-13,-57%,11%,-13,11,-11,-51%,13%,-13%,12,-10,-47%,14%,-12%,9,-13,-59%,11%,-15%,"-$1,280.30",8,-14,-62%,,
Jackson,4,3,75%,1,1,1,1,3,1,2,2,2,3,3,3,3,2,3,2,0,4,4,3,2,1,1,1,0,0,1,1,1,2,3,1,0,1,0,0,0,0,0,1,0,1,1,1,1,-2,-67%,25%,-50%,1,-2,-53%,35%,-40%,2,-1,-25%,56%,-19%,3,0,-8%,69%,-6%,3,0,-13%,65%,-10%,2,-1,-42%,44%,-31%,1,-3,-83%,13%,-63%,2,-1,-47%,40%,-35%,0,-3,-92%,6%,-2,0,-3,-93%,5%,-70%,1,-2,-67%,25%,-50%,1,-2,-52%,36%,-39%,-$154.98,2,-1,-39%,,
Jefferson,1148,1303,114%,751,698,651,624,724,713,602,569,580,559,567,563,546,560,583,558,556,586,605,631,665,681,682,649,670,640,694,684,682,690,689,682,727,736,733,741,720,744,743,732,714,816,813,780,751,-552,-42%,65%,-48%,682,-621,-48%,59%,-54%,578,-726,-56%,50%,-63%,559,-744,-57%,49%,-65%,578,-725,-56%,50%,-63%,665,-638,-49%,58%,-56%,663,-640,-49%,58%,-56%,685,-618,-47%,60%,-54%,734,-569,-44%,64%,-647,731,-572,-44%,64%,-50%,803,-500,-38%,70%,-44%,657,-646,-50%,57%,-56%,"-$63,875.52",632,-671,-52%,,
Kit Carson,52,16,31%,16,14,13,14,14,14,13,16,14,8,9,7,12,14,15,15,13,13,12,10,10,12,13,13,8,12,9,9,6,8,10,9,8,9,9,12,10,9,11,8,9,10,10,11,16,0,0%,31%,0%,14,-2,-14%,27%,-4%,13,-3,-20%,25%,-6%,11,-6,-34%,20%,-11%,14,-2,-15%,26%,-5%,11,-5,-30%,22%,-9%,11,-6,-34%,20%,-11%,8,-8,-48%,16%,-15%,10,-7,-41%,18%,-5,9,-7,-41%,18%,-13%,10,-6,-35%,20%,-11%,11,-5,-30%,21%,-9%,-$478.43,12,-4,-28%,,
La Plata,279,201.3,72%,125,118,105,103,107,112,111,112,110,115,106,105,124,126,124,123,120,114,123,132,145,151,144,149,149,132,148,140,148,152,156,146,151,150,149,151,150,163,154,140,144,142,130,128,125,-76,-38%,45%,-27%,109,-92,-46%,39%,-33%,112,-89,-44%,40%,-32%,115,-86,-43%,41%,-31%,121,-81,-40%,43%,-29%,143,-58,-29%,51%,-21%,145,-57,-28%,52%,-20%,148,-53,-26%,53%,-19%,150,-51,-25%,54%,-70,150,-51,-25%,54%,-18%,133,-68,-34%,48%,-24%,132,-69,-34%,47%,-25%,"-$6,806.24",127,-74,-37%,,
Larimer,500,535,107%,435,382,365,350,345,356,373,388,400,425,408,390,382,375,384,384,391,407,401,396,458,436,468,472,460,509,495,483,478,455,465,468,472,501,495,483,517,515,551,523,533,547,523,533,435,-100,-19%,87%,-20%,360,-175,-33%,72%,-35%,397,-139,-26%,79%,-28%,389,-146,-27%,78%,-29%,393,-142,-26%,79%,-28%,440,-96,-18%,88%,-19%,484,-51,-10%,97%,-10%,470,-65,-12%,94%,-13%,488,-47,-9%,98%,-98,528,-7,-1%,106%,-1%,534,-1,0%,107%,0%,438,-97,-18%,88%,-19%,"-$9,547.94",418,-117,-22%,,
Las Animas,110,47,43%,32,28,22,23,24,22,23,21,27,27,22,24,21,29,28,32,29,33,41,44,47,52,49,54,51,57,58,71,67,64,60,56,49,52,46,31,34,32,36,35,37,38,34,38,32,-15,-32%,29%,-14%,24,-23,-49%,22%,-21%,25,-23,-48%,22%,-20%,24,-23,-49%,22%,-21%,33,-14,-31%,30%,-13%,48,1,2%,44%,1%,55,8,17%,50%,7%,64,17,35%,58%,15%,45,-3,-5%,40%,-9,35,-12,-26%,32%,-11%,37,-10,-22%,33%,-9%,39,-8,-18%,35%,-8%,-$826.58,39,-8,-17%,,
Lincoln,40,41.04,103%,15,12,10,9,12,12,12,16,12,13,16,17,17,17,18,18,18,20,18,20,17,18,17,18,16,16,18,17,16,18,18,16,16,18,18,18,22,22,18,19,16,15,12,14,15,-26,-63%,38%,-65%,11,-30,-73%,28%,-75%,13,-28,-68%,33%,-69%,17,-24,-59%,42%,-61%,18,-23,-55%,46%,-57%,18,-23,-56%,45%,-58%,17,-24,-59%,43%,-60%,17,-24,-59%,43%,-60%,18,-24,-57%,44%,-26,19,-22,-53%,49%,-54%,14,-27,-67%,34%,-68%,16,-25,-60%,41%,-62%,"-$2,450.00",16,-25,-61%,,
Logan,120,114,95%,93,90,79,78,82,89,91,84,84,84,73,68,72,70,63,60,56,57,60,68,61,60,60,49,65,68,63,78,67,70,68,73,80,78,75,79,75,68,72,66,70,64,64,65,93,-21,-18%,78%,-18%,84,-30,-27%,70%,-25%,86,-28,-25%,71%,-24%,71,-43,-38%,59%,-36%,59,-55,-48%,49%,-46%,62,-52,-45%,52%,-43%,61,-53,-46%,51%,-44%,71,-43,-38%,59%,-36%,78,-36,-32%,65%,-44,70,-44,-38%,59%,-37%,64,-50,-44%,54%,-41%,71,-43,-37%,59%,-36%,"-$4,216.00",71,-43,-38%,,
Mesa,621,548,88%,410,388,354,337,327,318,318,328,332,308,308,291,303,296,293,293,300,319,331,338,337,349,370,367,350,336,345,358,381,389,392,401,401,403,393,384,389,408,396,399,403,388,406,411,410,-138,-25%,66%,-22%,345,-203,-37%,56%,-33%,322,-227,-41%,52%,-36%,300,-249,-45%,48%,-40%,307,-241,-44%,49%,-39%,349,-200,-36%,56%,-32%,350,-199,-36%,56%,-32%,384,-164,-30%,62%,-26%,395,-153,-28%,64%,-197,399,-149,-27%,64%,-24%,402,-146,-27%,65%,-24%,352,-196,-36%,57%,-32%,"-$19,344.16",337,-211,-38%,,
Moffat,101,46.8,46%,24,22,20,21,20,20,22,23,22,22,24,26,25,26,22,21,17,14,12,17,17,20,23,21,26,31,33,28,28,27,26,25,22,22,25,22,20,19,19,16,16,15,12,16,24,-23,-49%,24%,-23%,21,-26,-56%,20%,-26%,22,-25,-52%,22%,-24%,25,-22,-46%,25%,-21%,17,-30,-63%,17%,-29%,19,-28,-59%,19%,-27%,28,-19,-41%,27%,-19%,27,-20,-43%,27%,-20%,23,-24,-51%,23%,-26,18,-29,-62%,18%,-29%,14,-32,-69%,14%,-32%,22,-25,-54%,21%,-25%,"-$2,493.66",23,-24,-52%,,
Montezuma,104,108,104%,80,82,81,86,68,69,57,57,50,48,48,44,46,56,55,63,65,65,61,63,72,72,77,88,84,90,92,76,69,69,83,72,81,74,79,68,70,71,75,74,79,83,84,83,80,-28,-26%,77%,-27%,77,-31,-29%,74%,-30%,53,-55,-51%,51%,-53%,49,-60,-55%,47%,-57%,62,-46,-43%,59%,-44%,71,-37,-34%,68%,-36%,89,-20,-18%,85%,-19%,74,-34,-32%,71%,-33%,76,-33,-30%,73%,-38,74,-34,-32%,71%,-33%,83,-25,-23%,80%,-24%,71,-37,-35%,68%,-36%,"-$3,690.40",68,-40,-37%,,
Montrose,149,93,62%,61,52,54,50,53,57,59,58,67,67,69,75,79,82,91,93,89,91,91,83,78,86,86,76,83,79,64,75,76,75,84,81,96,89,84,90,74,83,77,71,72,71,54,62,61,-32,-34%,41%,-21%,53,-40,-43%,36%,-27%,63,-30,-33%,42%,-20%,76,-17,-18%,51%,-11%,91,-2,-2%,61%,-1%,83,-10,-10%,56%,-7%,76,-18,-19%,51%,-12%,78,-15,-16%,52%,-10%,90,-3,-3%,60%,-19,75,-18,-19%,51%,-12%,62,-31,-33%,42%,-21%,75,-18,-20%,50%,-12%,"-$1,808.14",74,-19,-20%,,
Morgan,124,99,80%,62,60,58,57,51,49,55,59,61,57,63,58,58,60,68,62,66,59,70,68,82,75,89,88,73,62,68,69,64,68,63,62,63,60,54,57,65,60,66,62,65,64,77,72,62,-37,-37%,50%,-30%,55,-44,-44%,44%,-35%,58,-41,-41%,47%,-33%,60,-39,-40%,48%,-32%,65,-34,-34%,52%,-27%,79,-21,-21%,63%,-17%,73,-26,-27%,59%,-21%,65,-34,-34%,53%,-27%,59,-41,-41%,47%,-36,64,-35,-36%,51%,-29%,71,-28,-28%,57%,-23%,64,-35,-35%,52%,-28%,"-$3,429.85",65,-34,-35%,,
Otero,34,8,24%,3,4,4,3,5,4,6,7,11,10,10,6,6,8,9,11,11,10,7,10,16,15,19,21,23,23,20,19,15,15,16,15,18,22,22,16,16,0,19,15,18,13,12,13,3,-5,-63%,9%,-15%,4,-4,-50%,12%,-12%,9,1,6%,25%,1%,8,-1,-6%,22%,-1%,10,2,20%,28%,5%,15,7,88%,44%,21%,22,14,172%,64%,40%,16,8,100%,47%,24%,20,12,144%,57%,4,14,6,70%,40%,16%,13,5,58%,37%,14%,12,4,55%,36%,13%,$435.75,12,4,45%,,
Park,255,40.9,16%,27,21,19,17,18,18,20,28,30,27,27,28,26,30,26,33,35,36,34,32,37,32,26,30,29,28,29,28,34,37,35,37,35,34,33,31,32,35,35,32,32,32,27,30,27,-14,-34%,11%,-5%,19,-22,-55%,7%,-9%,26,-15,-36%,10%,-6%,28,-13,-32%,11%,-5%,33,-8,-20%,13%,-3%,32,-9,-22%,12%,-4%,29,-12,-29%,11%,-5%,34,-7,-16%,13%,-3%,33,-8,-19%,13%,-11,33,-8,-19%,13%,-3%,30,-11,-27%,12%,-4%,30,-11,-28%,12%,-4%,"-$1,117.68",29,-12,-30%,,
Pitkin,30,18.18,61%,10,7,6,7,6,7,8,7,5,7,7,9,12,12,11,12,13,14,13,11,8,13,15,17,15,14,12,7,10,11,11,11,11,10,10,6,12,9,7,7,7,12,11,10,10,-8,-45%,33%,-27%,7,-12,-64%,22%,-39%,7,-11,-63%,23%,-38%,10,-8,-45%,33%,-27%,13,-6,-31%,42%,-19%,12,-6,-35%,39%,-21%,15,-4,-20%,48%,-12%,10,-8,-45%,33%,-27%,9,-9,-49%,31%,-9,8,-10,-54%,28%,-33%,11,-7,-39%,37%,-24%,10,-8,-45%,33%,-27%,-$808.43,10,-8,-44%,,
Prowers,57,65,114%,50,34,35,35,34,29,33,32,36,28,32,32,35,37,43,44,53,44,44,43,45,37,44,45,43,49,54,56,40,46,50,44,47,45,47,48,48,46,46,46,51,46,46,49,50,-15,-23%,88%,-26%,33,-32,-49%,59%,-55%,32,-33,-50%,57%,-57%,34,-31,-48%,60%,-54%,46,-19,-30%,80%,-34%,42,-23,-35%,74%,-40%,48,-17,-27%,84%,-30%,47,-18,-27%,83%,-31%,47,-18,-28%,82%,-24,47,-18,-27%,83%,-31%,47,-18,-28%,82%,-32%,43,-22,-35%,75%,-39%,"-$2,221.43",41,-24,-38%,,
Pueblo,780,660,85%,483,428,422,403,396,397,394,386,368,378,367,354,375,389,372,379,390,376,377,411,425,434,455,458,460,497,503,496,514,502,513,501,489,460,435,421,429,421,414,401,415,403,405,416,483,-177,-27%,62%,-23%,409,-251,-38%,52%,-32%,382,-279,-42%,49%,-36%,371,-289,-44%,48%,-37%,379,-281,-43%,49%,-36%,431,-229,-35%,55%,-29%,480,-181,-27%,61%,-23%,505,-155,-23%,65%,-20%,451,-209,-32%,58%,-234,416,-244,-37%,53%,-31%,408,-252,-38%,52%,-32%,427,-233,-35%,55%,-30%,"-$23,073.19",423,-237,-36%,,
Rio Blanco,34,18.9,56%,17,15,15,15,15,15,14,14,18,17,22,18,19,19,10,10,10,11,10,10,9,8,10,10,8,12,11,11,12,9,9,10,13,12,13,13,12,12,14,11,12,13,16,15,17,-2,-10%,50%,-6%,15,-4,-21%,44%,-11%,16,-3,-17%,46%,-9%,20,1,3%,57%,2%,10,-9,-46%,30%,-26%,9,-10,-51%,27%,-28%,10,-9,-46%,30%,-25%,10,-9,-46%,30%,-26%,13,-6,-33%,38%,-7,12,-7,-35%,36%,-20%,15,-4,-22%,43%,-12%,13,-6,-32%,38%,-18%,-$589.84,13,-6,-32%,,
